RegionID,RegionName,RegionType,StateName,SizeRank,MSA,MSARegionID,2010-11,2010-12,2011-1,2011-2,2011-3,2011-4,2011-5,2011-6,2011-7,2011-8,2011-9,2011-10,2011-11,2011-12,2012-1,2012-2,2012-3,2012-4,2012-5,2012-6,2012-7,2012-8,2012-9,2012-10,2012-11,2012-12,2013-1,2013-2,2013-3,2013-4,2013-5,2013-6,2013-7,2013-8,2013-9,2013-10,2013-11,2013-12,2014-1,2014-2,2014-3,2014-4,2014-5,2014-6,2014-7,2014-8,2014-9,2014-10,2014-11,2014-12,2015-1,2015-2,2015-3,2015-4,2015-5,2015-6,2015-7,2015-8,2015-9,2015-10,2015-11,2015-12,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3
274772,Northeast Dallas,Neighborhood,TX,1,Dallas-Fort Worth-Arlington,394514,1.19,0.99,0.59,0.4,0.2,0.1,0.3,0.89,1.39,1.29,0.79,0.5,0.69,1.09,1.49,1.58,1.98,2.18,2.08,1.78,1.68,1.88,2.28,2.67,2.48,2.38,2.57,3.27,3.07,2.77,2.97,3.47,3.56,3.66,4.26,5.45,7.23,6.14,4.95,4.65,7.33,9.31,8.91,6.34,5.15,5.35,5.94,7.03,7.82,8.12,8.61,8.81,9.21,9.41,9.5,9.7,9.8,10,9.9,9.6,8.71,7.52,6.04,5.74,6.44,7.62,7.13,5.54,4.75,4.55,4.85,5.25,5.64,6.24,6.63,6.83,7.92,8.22,7.43,6.53,6.93,8.32,8.51,7.72,6.73,8.42,9.11,9.01,8.02,5.84,5.05,4.46,4.36,4.16,3.86,3.96,4.06,3.76,3.37,2.87,3.17
112345,Maryvale,Neighborhood,AZ,2,Phoenix-Mesa-Scottsdale,394976,0.1,0.3,0.89,1.09,0.99,0.59,0.69,1.19,1.78,3.47,6.24,8.02,7.52,6.83,6.63,7.43,8.71,8.51,9.01,8.81,8.12,7.33,7.72,9.11,9.6,7.82,6.14,5.84,7.62,9.7,9.9,9.21,8.42,6.53,5.64,3.76,3.86,4.65,4.36,3.37,1.98,1.29,0.4,0.2,0.5,0.79,1.58,2.28,2.48,2.38,2.87,4.06,5.45,5.74,6.04,6.34,6.73,7.13,6.93,6.44,5.94,5.54,5.25,4.95,5.05,4.85,4.46,3.96,3.07,2.77,1.68,1.39,1.49,2.18,2.97,3.27,2.57,1.88,2.08,2.67,3.17,3.66,4.16,4.26,3.56,4.55,4.75,5.15,5.35,7.03,9.5,10,9.8,9.41,9.31,8.32,7.92,8.22,8.91,8.61,7.23
192689,Paradise,Neighborhood,NV,3,Las Vegas-Henderson-Paradise,394775,1.58,1.39,0.99,0.79,0.3,0.1,0.5,0.89,1.29,1.19,0.69,0.59,0.2,0.4,1.09,1.49,2.08,2.18,2.28,1.88,1.78,1.68,2.38,3.07,6.04,5.05,2.57,1.98,2.48,3.37,6.14,6.44,6.93,7.82,8.02,7.52,7.72,7.03,7.33,6.73,6.63,5.84,4.75,3.66,3.56,3.86,4.06,4.85,5.64,6.24,7.23,8.12,8.32,7.13,5.94,4.95,4.46,5.74,5.54,4.55,3.47,4.26,5.45,5.35,3.27,2.87,2.67,2.77,2.97,3.17,4.36,5.15,4.65,3.76,3.96,5.25,6.34,7.92,8.42,8.61,8.71,8.91,9.01,9.11,9.21,9.41,9.6,9.7,9.9,10,9.8,9.5,9.31,8.81,8.51,8.22,6.83,7.43,7.62,6.53,4.16
270958,Upper West Side,Neighborhood,NY,4,New York-Newark-Jersey City,394913,2.48,2.57,3.17,3.96,4.65,4.55,4.26,3.27,2.77,2.18,1.78,1.58,1.68,1.39,0.79,0.59,0.1,0.4,0.5,0.2,0.3,0.69,0.99,1.19,1.09,0.89,1.29,1.49,2.67,3.37,5.25,7.23,7.33,5.94,3.66,3.86,4.75,8.42,9.41,9.6,9.8,9.7,9.5,9.21,8.71,8.51,8.81,8.91,9.01,8.61,8.02,6.83,6.14,6.34,5.64,5.74,5.54,6.44,6.63,6.93,7.82,8.32,7.62,6.04,5.35,4.46,4.16,2.97,2.38,2.28,3.07,3.76,5.15,5.45,7.03,8.22,7.43,5.05,3.47,4.06,4.36,4.95,4.85,6.24,7.13,8.12,7.92,7.72,6.73,5.84,7.52,9.31,10,9.9,9.11,6.53,3.56,2.87,1.98,2.08,1.88
118208,South Los Angeles,Neighborhood,CA,5,Los Angeles-Long Beach-Anaheim,753899,2.48,2.28,2.18,2.38,2.08,1.78,0.89,0.5,0.4,0.2,0.1,0.3,0.59,0.79,0.69,0.99,1.09,1.49,1.88,1.68,1.58,1.29,1.19,1.39,1.98,2.57,4.16,4.85,5.15,4.65,4.55,4.46,3.66,3.56,3.76,4.75,5.35,5.25,4.36,3.27,3.86,3.37,3.47,2.97,3.17,4.06,5.05,5.74,6.04,5.94,5.84,5.64,6.34,6.73,6.63,6.14,6.24,6.53,6.44,4.26,3.07,2.87,4.95,5.45,3.96,2.67,2.77,5.54,6.83,7.33,7.52,7.23,6.93,7.13,7.62,7.43,8.12,8.61,9.41,9.01,8.42,8.91,9.31,9.7,9.6,9.21,8.71,8.32,8.22,9.11,9.8,10,9.9,9.5,8.81,8.51,8.02,7.92,7.03,7.72,7.82
270957,Upper East Side,Neighborhood,NY,6,New York-Newark-Jersey City,394913,3.47,3.37,3.17,3.27,2.97,2.57,2.38,2.18,2.08,1.88,1.78,1.58,1.39,0.99,0.79,0.5,0.4,0.1,0.2,0.3,0.59,0.69,0.89,1.09,1.19,1.29,1.49,1.68,1.98,2.28,2.48,2.87,3.56,3.66,3.76,3.96,4.16,6.63,8.81,9.5,9.31,8.22,7.72,7.33,7.52,9.11,9.9,10,9.8,8.91,7.82,8.12,8.32,7.92,7.23,6.44,6.73,5.94,5.54,4.65,4.85,5.64,5.25,5.05,4.36,5.45,4.26,4.46,4.55,6.04,6.93,6.53,6.34,5.84,5.74,4.75,5.15,5.35,6.24,6.83,7.03,6.14,7.13,7.62,8.02,8.61,9.21,9.7,9.6,8.71,8.42,8.51,9.41,9.01,7.43,4.95,4.06,3.86,3.07,2.77,2.67
192820,Sunrise Manor,Neighborhood,NV,7,Las Vegas-Henderson-Paradise,394775,1.98,2.57,2.28,2.38,1.49,1.09,0.2,0.3,0.1,0.4,0.79,0.99,0.5,0.69,1.39,2.18,2.77,3.47,5.05,6.14,5.94,4.75,4.55,4.65,5.64,4.46,5.35,5.84,7.62,7.72,6.83,4.16,3.27,3.07,3.76,4.26,4.36,4.85,5.15,5.25,3.86,2.08,1.29,0.59,0.89,1.19,1.78,2.48,2.97,3.17,2.87,3.37,6.04,7.13,7.82,7.33,7.52,6.73,7.03,6.53,6.63,6.93,5.54,2.67,1.58,1.68,1.88,3.96,6.34,7.43,6.44,5.74,4.95,4.06,3.66,3.56,5.45,7.23,8.12,8.42,8.51,8.61,8.71,8.91,9.01,9.11,9.31,9.41,9.6,9.9,10,9.8,9.7,9.5,9.21,8.81,8.32,8.22,8.02,7.92,6.24
192796,Spring Valley,Neighborhood,NV,8,Las Vegas-Henderson-Paradise,394775,2.97,2.28,1.98,1.19,0.89,0.2,0.3,0.69,0.59,0.4,0.1,0.5,0.79,0.99,1.09,1.49,2.87,4.06,3.96,2.48,1.78,1.29,1.39,2.57,4.75,6.04,5.15,3.86,2.77,3.17,4.46,6.73,7.52,8.02,8.22,7.62,7.23,6.14,4.55,3.27,2.08,1.68,2.18,3.37,4.16,5.25,6.53,6.83,6.44,5.64,5.54,6.34,5.45,4.85,4.65,5.35,5.84,6.63,7.33,7.43,7.13,5.94,4.36,2.38,1.58,1.88,2.67,3.76,3.66,3.07,3.47,4.26,4.95,5.74,6.24,7.03,7.82,8.42,8.71,8.91,8.61,8.51,8.81,9.11,9.21,9.31,9.41,9.6,9.8,10,9.9,9.7,9.5,9.01,8.32,8.12,7.92,7.72,6.93,5.05,3.56
268496,Southeast Los Angeles,Neighborhood,CA,9,Los Angeles-Long Beach-Anaheim,753899,4.75,3.47,1.98,0.89,0.3,0.5,1.19,1.49,0.79,0.2,0.1,0.4,0.59,1.68,2.18,2.28,1.78,0.69,0.99,1.09,1.29,1.58,1.88,2.77,3.86,3.76,2.87,3.07,3.17,3.96,4.65,5.25,4.85,4.06,3.56,3.37,5.35,7.13,7.43,6.53,6.04,6.34,6.63,6.14,4.95,3.66,4.55,5.84,6.73,7.03,6.83,5.05,2.08,1.39,2.38,5.64,6.44,5.94,4.26,2.97,2.48,4.16,5.54,6.24,4.36,2.67,2.57,3.27,5.74,7.33,7.92,8.42,7.62,7.23,5.45,4.46,5.15,6.93,7.72,8.71,9.21,9.11,9.41,9.01,8.91,8.51,8.12,8.32,8.22,8.61,9.31,9.6,9.8,9.7,10,9.9,9.5,8.81,8.02,7.82,7.52
194430,East New York,Neighborhood,NY,10,New York-Newark-Jersey City,394913,2.57,1.88,3.17,4.75,6.53,2.87,0.69,0.1,0.2,0.59,3.07,2.67,1.78,1.09,0.79,1.19,1.29,1.39,1.68,2.48,4.16,3.76,2.18,1.58,0.99,0.5,0.3,0.4,0.89,1.49,2.08,4.55,6.04,8.42,8.81,9.8,9.7,9.11,8.91,8.71,9.21,9.41,8.12,2.38,1.98,3.47,8.02,6.83,3.86,2.77,4.36,7.62,6.93,5.64,6.14,7.33,7.52,5.54,5.25,4.95,5.15,7.43,8.61,9.5,8.51,7.13,6.44,7.23,9.01,9.9,10,9.6,6.63,4.26,5.84,7.92,7.72,5.94,4.46,3.66,3.56,5.05,4.85,6.34,4.65,6.73,6.24,7.82,7.03,5.74,2.97,2.28,4.06,8.22,9.31,8.32,5.45,3.27,3.37,5.35,3.96
